document,document_id,arm,arm_id,Outcome value,manually-added outcome value,remove paper,Will be fixable in EPPI - will need to update the JSON file,will need to be fixed via supplementary file merge,Combined follow up,Biochemical verification,CBT,Motivational Interviewing,brief advise,1.1.Goal setting,1.2 Problem solving,1.4 Action planning,2.2 Feedback on behaviour,2.3 Self-monitoring of behavior,3.1 Social support,4.1 Instruction on how to perform the behavior,4.5. Advise to change behavior,5.1 Information about health consequences,5.3 Information about social and environmental consequences,11.1 Pharmacological support,11.2 Reduce negative emotions,Group-based,Face to face,phone,Website / Computer Program / App,Patch,Somatic,gum,e_cigarette,inhaler,lozenge,nasal_spray,placebo,nrt,Pill,bupropion,varenicline,Printed material,Digital content type,text messaging,Health Professional,doctor,nurse,pychologist,aggregate patient role,Mean age,Proportion identifying as female gender,Mean number of times tobacco used,Country of intervention,healthcare facility,Pharmaceutical company funding,Pharmaceutical company competing interest,Individual-level analysed
Davis 2014 (a) primary paper (c).pdf,263093,Mindfulness Training for Smokers (MTS),171,10,,,,,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,41.65,50,15.75,-,0,0,0,105
Davis 2014 (a) primary paper (c).pdf,263093,Control,172,5,,,,,24,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41.65,50,15.75,-,0,0,0,91
DeBusk 1994.pdf,296343,Special intervention,419,70,,,,,-,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,57,21.5,-,-,0,0,0,-
DeBusk 1994.pdf,296343,Usual care,420,53,,,,,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,57,20.9,-,-,0,0,0,-
DeStasio 2018.pdf,437502,active control,2224,0.03,,,,,13.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,19,12.79,-,0,0,0,62
DeStasio 2018.pdf,437502,SA with implementation intentions (SA+ii),2222,3.63,,,,,13.05,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,19,12.79,-,0,0,0,62
DeStasio 2018.pdf,437502,self-authorship (SA) only,2223,1.97,,,,,13.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,19,12.79,-,0,0,0,62
Dedert 2018.pdf,437501,Placebo patch,2203,32,,,,,26.1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44.5,48,-,-,0,0,1,44
Dedert 2018.pdf,437501,Active patch,2202,5,,,,,26.1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,43,-,-,0,0,1,37
Dedert 2019.pdf,437442,Present-focused smoking cessation (PS),2188,16,,,,,26.1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,53.3,24,16,-,0,0,0,25
Dedert 2019.pdf,437442,Cognitive processing therapy and smoking cessation (CPTS),2187,13,,,,,26.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,43.1,7,13.9,-,0,0,0,15
Dennis 2016.pdf,423136,Active patch,2045,-,0,,,1,26.1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42.3,55,-,-,0,0,0,32
Dennis 2016.pdf,423136,Placebo patch,2046,-,0,,,1,26.1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42.8,53,-,-,0,0,0,31
Dent-2009 primary paper.pdf,263096,Pharmacist-delivered program,173,28,,,,,26.1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,56.7,7,18.9,US,0,0,0,50
Dent-2009 primary paper.pdf,263096,Standard care over telephone,174,11.8,,,,,26.1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,55,7,20.1,US,0,0,0,51
Dickson Spillmann 2013 (c) primary paper.pdf,263098,Relaxation sessions,176,17.8,,,,,26.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,36.9,49.5,-,Switzerland,0,0,0,107
Dickson Spillmann 2013 (c) primary paper.pdf,263098,Hypnosis sessions,175,14.7,,,,,26.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,38,44.8,-,Switzerland,0,0,0,116
Dijkstra 1998a.pdf,296419,No information (CO),869,1.6,,,,,60.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7,59,20.3,Netherlands,0,0,0,250
Dijkstra 1998a.pdf,296419,Self-efficacy information (SE),792,3.3,,,,,60.9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39.7,59,20.3,Netherlands,0,0,0,244
Dijkstra 1998a.pdf,296419,Outcome information (OC),793,2.4,,,,,60.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39.7,59,20.3,Netherlands,0,0,0,247
Dijkstra 1998a.pdf,296419,Both sorts of information (BO),791,4.8,,,,,60.9,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39.7,59,20.3,Netherlands,0,0,0,249
Dijkstra 1999.pdf,296422,No-information control (CO),797,5.5,,,,,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7,62.8,21.5,Netherlands,0,0,0,182
Dijkstra 1999.pdf,296422,Self-help guide (SHG),796,3.5,,,,,26.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.7,62.8,21.5,Netherlands,0,0,0,201
Dijkstra 1999.pdf,296422,Multiple-tailored intevention (MT),794,3.2,,,,,26.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.7,62.8,21.5,Netherlands,0,0,0,187
Dijkstra 1999.pdf,296422,Single-tailored intervention (ST),795,4.4,,,,,26.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.7,62.8,21.5,Netherlands,0,0,0,180
Dijkstra_1998_Tailored Interventions to Communicate Stage-Matched Information_10.10370022-006X.66.3.549.pdf,263042,Self-efficacy-enhancing information only,110,8,,,,,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39.7,59,20.3,ghout The Netherlands.,0,0,0,385
Dijkstra_1998_Tailored Interventions to Communicate Stage-Matched Information_10.10370022-006X.66.3.549.pdf,263042,Outcome information only,109,4,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39.7,59,20.3,ghout The Netherlands.,0,0,0,384
Dijkstra_1998_Tailored Interventions to Communicate Stage-Matched Information_10.10370022-006X.66.3.549.pdf,263042,Control,111,3.2,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7,59,20.3,ghout The Netherlands.,0,0,0,385
Dijkstra_1998_Tailored Interventions to Communicate Stage-Matched Information_10.10370022-006X.66.3.549.pdf,263042,Both types of information,108,8,,,,,-,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39.7,59,20.3,ghout The Netherlands.,0,0,0,386
Dogar 2018.pdf,437503,Varenicline,2200,4.7,,,,,25,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,49.9,15.8,12.3,multinational,0,1,1,253
Dogar 2018.pdf,437503,Placebo,2201,4.3,,,,,25,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48.4,16,12.7,multinational,0,1,1,257
Drummond 2014.pdf,423068,Usual care,1925,4,,,,,26.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.3,42,19,United States,0,0,0,26
Drummond 2014.pdf,423068,Contingency management and lung age,1922,0,,,,,26.1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49.2,38,21,United States,0,0,0,24
Drummond 2014.pdf,423068,Lung age,1924,0,,,,,26.1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46.1,42,17,United States,0,0,0,24
Drummond 2014.pdf,423068,Contingency management,1923,14,,,,,26.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.2,65,12,United States,0,0,0,26
Duffy 2006.pdf,296344,Usual care,422,31,,,,,26.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,58,9,-,-,0,1,1,91
Duffy 2006.pdf,296344,Intervention,421,47,,,,,26.1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,56,23,-,-,0,1,1,93
Durmaz 2019.pdf,437445,WhatsApp arm,2191,40.9,,,,,6,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,39.3,36.4,-,-,1,0,0,44
Durmaz 2019.pdf,437445,Control arm,2192,23.9,,,,,6,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,39.3,40.9,-,-,1,0,0,88
Ebbert JADA 2007.pdf,296264,brief smoking cessation counseling with referrals to tobacco use quitline,468,25,,,,,26.1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-,-,-,-,1,0,0,60
Ebbert JADA 2007.pdf,296264,brief smoking cessation counseling,469,27.3,,,,,26.1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-,-,-,-,1,0,0,22
El Hajj 2017.pdf,436357,Intervention group,2643,12.6,,,,,52.2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-,1.8,21.6,Qatar,1,0,0,167
El Hajj 2017.pdf,436357,Control group,2644,4.1,,,,,52.2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-,2.7,23.5,Qatar,1,0,0,147
Elkins 2006.pdf,263102,Hypnotherapy,177,40,,,,,26,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,43.7,60,22.2,-,0,0,0,20
Elkins 2006.pdf,263102,Control,178,0,,,,,26,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.7,80,25.7,-,0,0,0,20
Ellerbeck 2009 (c) primary paper.pdf,263104,High-intensity disease management (HDM),179,14.8,,,,,104.4,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,46.4,60.2,22.9,-,1,1,1,244
Ellerbeck 2009 (c) primary paper.pdf,263104,Pharmacotherapy Management (PM),181,13.5,,,,,104.4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,47.1,57.6,24.3,-,1,1,1,244
Ellerbeck 2009 (c) primary paper.pdf,263104,Moderate-intensity disease management (MDM),180,14.7,,,,,104.4,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48.2,57.8,23.8,-,1,1,1,238
Ellerbeck 2019.pdf,437446,Counseling with Care Coordination (CCC),2209,19.3,,,,,52.2,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,50.6,63,19.3,-,0,0,1,296
Ellerbeck 2019.pdf,437446,Counseling Only (C),2210,16.9,,,,,52.2,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,51,64,19.7,-,0,0,1,284
Emmons J Clin Oncol 2009.pdf,296266,peer-delivered telephone counseling (PC),470,20.6,,,,,7.83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,48,-,-,0,1,1,383
Emmons J Clin Oncol 2009.pdf,296266,self help (SH),471,17.6,,,,,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,31,46,-,-,0,1,1,385
Espada 2015.pdf,319576,Project EX,627,4.9,,,,,26.1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,53.3,200,Spain,0,0,0,35
Espada 2015.pdf,319576,Control,628,-,0,,,1,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,53.3,200,Spain,0,0,0,65
Etringer 1984.pdf,321101,Enriched cohesiveness x satiation,700,32,,,,,52.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,36.4,-,24.7,-,0,0,0,72
Etringer 1984.pdf,321101,Standard cohesiveness x nicotine fading,701,40,,,,,52.2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36.4,-,24.7,-,0,0,0,72
Etringer 1984.pdf,321101,Standrad cohesiveness x satiation,702,6,,,,,52.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36.4,-,24.7,-,0,0,0,72
Etringer 1984.pdf,321101,Enriched cohesiveness x nicotine fading,699,45,,,,,52.2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,36.4,-,24.7,-,0,0,0,72
Etter 2004.pdf,296423,Programme,798,11.1,,,,,100.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36,52,20,Switzerland,0,0,0,1467
Etter 2004.pdf,296423,Control,799,10.5,,,,,100.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,52,20,Switzerland,0,0,0,1467
Etter 2016.pdf,423069,Control group,1982,3.7,,,,,78.3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,56,16,multinational,0,0,0,404
Etter 2016.pdf,423069,Incentive group,1981,9.5,,,,,78.3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,47,1,multinational,0,0,0,401
Evins 2014.pdf,423086,Varenicline + CBT,1926,45,,,,,64,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-,-,-,-,0,1,1,40
Evins 2014.pdf,423086,Placebo + CBT,1927,13,,,,,64,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-,-,-,-,0,1,1,47
Family Heart 1994.pdf,296378,Intervention,756,19.1,,,,,4.35,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-,-,-,Britain.,0,1,1,-
Family Heart 1994.pdf,296378,Comparison,757,22,,,,,4.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,Britain.,0,1,1,-
Feeney 2001.pdf,263107,Stanford Heart Attack Staying Free (SF),182,39,,,,,52.2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,52.89,24,-,-,0,0,0,79
Feeney 2001.pdf,263107,Usual Care,183,2,,,,,52.2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,55.13,29,-,-,0,0,0,62
Ferguson 2012.pdf,296267,proactive support,473,-,,1,,,26.1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,-,-,England,0,0,0,-
Ferguson 2012.pdf,296267,standard support with nicotine replacement therapy,474,-,,1,,,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-,-,-,England,0,0,0,-
Ferguson 2012.pdf,296267,standard support,475,-,,1,,,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,-,-,England,0,0,0,-
Ferguson 2012.pdf,296267,proactive support with nicotine replacement therapy,472,-,,1,,,26.1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-,-,-,England,0,0,0,-
Fiore 2004.pdf,296268,Patch + Committed Quitters (CQ),477,6.2,,,,,4.35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,39.6,58.4,21.7,-,0,0,0,-
Fiore 2004.pdf,296268,Patch Only,478,6.6,,,,,4.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,39.6,58.4,21.7,-,0,0,0,-
Fiore 2004.pdf,296268,Patch +  Committed Quitters (CQ) + counselling,476,10.4,,,,,4.35,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,39.6,58.4,21.7,-,0,0,0,-
Forinash 2018.pdf,437507,Text-messaging,2245,57.1,,,,,2,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,-,-,-,-,1,0,0,14
Forinash 2018.pdf,437507,Standard of care,2246,31.3,,,,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,-,-,-,-,1,0,0,16
Fortmann 1995.pdf,296424,Gum + materials,800,21,,,,,52.2,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,39.3,41.9,20.1,-,0,0,0,260
Fortmann 1995.pdf,296424,Incentive only,802,16,,,,,52.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.8,41.8,20.1,-,0,0,0,261
Fortmann 1995.pdf,296424,Materials only,801,16,,,,,52.2,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39.9,42,20.1,-,0,0,0,261
Fortmann 1995.pdf,296424,Gum only,803,21,,,,,52.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.6,42,20.1,-,0,0,0,262
Frandsen-2012.pdf,263292,Minimal smoking cessation intervention,148,28.9,,,,,26.1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-,48.9,-,Denmark,0,0,0,45
Frandsen-2012.pdf,263292,Intensive smoking cessation intervention,147,32.7,,,,,26.1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,-,34.7,-,Denmark,0,0,0,49
Fraser 2017.pdf,423070,Control,1984,13.76,,,,,26.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,60,17,-,0,0,0,952
Fraser 2017.pdf,423070,Incentive,1983,21.62,,,,,26.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,60,17,-,0,0,0,948
Froelicher 2004b.pdf,296346,Usual care group (UG),424,50,,,,,130.5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-,-,6,-,0,1,1,135
Froelicher 2004b.pdf,296346,Intervention group (IG),423,50,,,,,130.5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,-,-,6,-,0,1,1,142
Froelicher 2010.pdf,263109,Control group (CG),185,5.3,,,,,52.2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,46.5,64.7,11.35,United States,0,0,0,34
Froelicher 2010.pdf,263109,CG care plus tobacco industry and media (IAM),184,15.8,,,,,52.2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,46.7,80.8,11.35,United States,0,0,0,26
Garcia 2000.pdf,321099,Control,698,2,,,,,52.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.87,-,5.53,Spain,0,0,0,48
Garcia 2000.pdf,321099,5-session,696,38.7,,,,,52.2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.93,-,25.67,Spain,0,0,0,31
Garcia 2000.pdf,321099,Manual only,697,15.1,,,,,52.2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35.45,-,25.8,Spain,0,0,0,33
Garcia 2000.pdf,321099,5-session + manual,695,48,,,,,52.2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,32.48,-,25.04,Spain,0,0,0,25
Garcia 2000.pdf,321099,10-session,694,16,,,,,52.2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,-,29.44,Spain,0,0,0,25
Garrison 2018.pdf,436358,Experience Sampling-Only (ES),2654,12.1,,,,,26.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7,-,16.2,-,0,0,0,182
Garrison 2018.pdf,436358,Mobile Mindfulness Training With Experience Sampling (MMT-ES),2653,9.8,,,,,26.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,-,16,-,0,0,0,143
